respondent_id,부서,직급,직종,근속연수,근무형태,응답일,자유응답_의견
R027,운영팀,사원,운영,1-2년,교대,2026-06-07,교육을 받고 현장에 투입되지만 실제 상황은 더 복잡합니다 현장 멘토링 기간이 필요합니다
R028,고객지원팀,사원,상담,1-2년,사무실,2026-06-07,팀장님 피드백은 빠르고 도움이 됩니다 이런 코칭 방식이 계속 유지되면 좋겠습니다
R029,인사팀,대리,관리,3-5년,하이브리드,2026-06-08,복리후생 안내가 흩어져 있어 놓치는 제도가 있습니다 한눈에 보는 복지 페이지가 필요합니다
R030,마케팅팀,대리,기획,3-5년,하이브리드,2026-06-08,회의가 많아 집중 시간이 부족합니다 보고성 회의와 의사결정 회의를 구분하면 좋겠습니다
R031,재무팀,과장,관리,6-10년,사무실,2026-06-08,정산 오류를 줄이기 위해 입력 검증 기능이 더 필요합니다 시스템에서 사전 알림이 있으면 좋겠습니다
R032,개발팀,사원,개발,1-2년,원격,2026-06-08,문서화가 잘 된 프로젝트는 적응이 빠릅니다 문서 작성 시간을 업무로 인정해주면 좋겠습니다
R033,디자인팀,대리,디자인,3-5년,하이브리드,2026-06-09,피드백이 늦게 와서 마감 직전에 수정이 몰립니다 검토 일정을 미리 정하면 좋겠습니다
R034,영업팀,과장,영업,6-10년,외근,2026-06-09,고객 데이터 입력 항목이 많아 현장에서 부담이 큽니다 필수 항목을 줄이면 좋겠습니다
R035,운영팀,차장,운영,10년 이상,교대,2026-06-09,인수인계 내용이 사람마다 달라 품질 차이가 납니다 표준 인수인계 양식이 필요합니다
R036,고객지원팀,대리,상담,3-5년,사무실,2026-06-09,문의가 급증하는 시간대에 인력이 부족합니다 피크 시간대 지원 배치가 필요합니다
R037,인사팀,사원,관리,1-2년,하이브리드,2026-06-10,해당 없음
R038,마케팅팀,차장,기획,10년 이상,하이브리드,2026-06-10,부서 간 목표가 다르게 설정되어 협업 우선순위가 충돌합니다 공동 목표가 필요합니다
R039,재무팀,대리,관리,3-5년,사무실,2026-06-10,연차 사용은 자유로운 편입니다 다만 바쁜 기간에는 눈치를 보는 분위기가 있습니다
R040,개발팀,대리,개발,3-5년,원격,2026-06-10,배포 일정이 갑자기 바뀌면 품질 확인 시간이 부족합니다 변경 기준을 명확히 해야 합니다
R041,디자인팀,사원,디자인,1-2년,하이브리드,2026-06-11,사내 디자인 리뷰는 유익합니다 다양한 직군이 함께 보는 리뷰가 더 있으면 좋겠습니다
R042,영업팀,사원,영업,1-2년,외근,2026-06-11,신규 고객 발굴 도구가 부족합니다 시장 정보와 리드 데이터 지원이 필요합니다
R043,운영팀,과장,운영,6-10년,교대,2026-06-11,휴게 공간이 부족합니다 야간 근무자가 쉴 수 있는 공간 개선이 필요합니다
R044,고객지원팀,차장,상담,10년 이상,사무실,2026-06-11,상담 품질 평가 기준을 더 구체적으로 알려주면 좋겠습니다 단순 처리 속도만 보지 않았으면 합니다
R045,인사팀,과장,관리,6-10년,하이브리드,2026-06-12,교육 예산은 있지만 신청 절차가 복잡합니다 승인 기준을 단순화하면 좋겠습니다
R046,마케팅팀,사원,기획,1-2년,원격,2026-06-12,업무 배경 설명이 충분하면 주도적으로 일하기 좋습니다 기획 의도를 공유해주면 좋겠습니다
R047,재무팀,차장,관리,10년 이상,사무실,2026-06-12,반복 보고서 작성 시간이 큽니다 대시보드 자동화가 필요합니다
R048,개발팀,과장,개발,6-10년,하이브리드,2026-06-12,장애 대응 이후 회고가 형식적으로 끝납니다 재발 방지 과제가 추적되면 좋겠습니다
R049,디자인팀,대리,디자인,3-5년,하이브리드,2026-06-13,프로덕트 방향성이 자주 바뀌어 디자인 결정이 흔들립니다 우선순위 합의가 필요합니다
R050,영업팀,대리,영업,3-5년,외근,2026-06-13,성과가 좋은 동료의 노하우를 배울 수 있는 시간이 있으면 좋겠습니다
R051,운영팀,사원,운영,1-2년,교대,2026-06-13,장비 사용 교육이 부족해 처음에는 실수가 걱정됩니다 반복 실습 시간이 필요합니다
R052,고객지원팀,사원,상담,1-2년,사무실,2026-06-13,고객 불만이 심한 경우 담당자가 혼자 감당하는 느낌입니다 에스컬레이션 기준이 필요합니다
R053,인사팀,대리,관리,3-5년,하이브리드,2026-06-14,조직 개편 안내가 늦어 구성원 문의가 많습니다 변경 전 사전 커뮤니케이션이 필요합니다
R054,마케팅팀,과장,기획,6-10년,하이브리드,2026-06-14,캠페인 성과 분석 도구는 만족합니다 다만 데이터 정의가 팀마다 달라 비교가 어렵습니다
R055,재무팀,사원,관리,1-2년,사무실,2026-06-14,없음
R056,개발팀,차장,개발,10년 이상,원격,2026-06-14,원격 협업은 효율적입니다 다만 중요한 설계 논의는 기록을 더 남겨야 합니다
R057,디자인팀,과장,디자인,6-10년,하이브리드,2026-06-15,디자인 시스템을 더 체계적으로 관리하면 중복 작업이 줄어들 것 같습니다
R058,영업팀,사원,영업,1-2년,외근,2026-06-15,고객 방문 후 보고 양식이 길어 시간이 많이 듭니다 핵심 항목 중심으로 줄이면 좋겠습니다
R059,운영팀,대리,운영,3-5년,교대,2026-06-15,근무표 변경 요청 절차가 불명확합니다 누가 승인하는지 명확히 알려주면 좋겠습니다
R060,고객지원팀,과장,상담,6-10년,사무실,2026-06-15,상담 시스템 장애가 발생하면 공지가 늦습니다 장애 알림 채널이 필요합니다
R061,인사팀,차장,관리,10년 이상,하이브리드,2026-06-16,평가 결과 피드백 면담의 품질 차이가 큽니다 관리자 교육이 필요합니다
R062,마케팅팀,대리,기획,3-5년,원격,2026-06-16,콘텐츠 제작 요청이 급하게 들어오는 경우가 많습니다 요청 마감 기준이 필요합니다
R063,재무팀,과장,관리,6-10년,사무실,2026-06-16,시스템 권한 신청이 늦어 신규 업무 시작이 지연됩니다 권한 승인 시간을 줄여야 합니다
R064,개발팀,사원,개발,1-2년,하이브리드,2026-06-16,멘토링을 통해 빠르게 적응했습니다 신규 개발자 온보딩은 만족스럽습니다
R065,디자인팀,사원,디자인,1-2년,하이브리드,2026-06-17,기획 변경 내역이 문서에 바로 반영되지 않아 혼란이 있습니다
R066,영업팀,차장,영업,10년 이상,외근,2026-06-17,인센티브 제도는 동기부여가 됩니다 다만 계산 방식이 더 투명했으면 합니다
R067,운영팀,과장,운영,6-10년,교대,2026-06-17,안전 교육은 중요하지만 일정이 촉박합니다 근무 스케줄과 충돌하지 않게 조정이 필요합니다
R068,고객지원팀,대리,상담,3-5년,사무실,2026-06-17,반복 문의는 챗봇이나 FAQ로 줄일 수 있을 것 같습니다 상담원이 중요한 문의에 집중하면 좋겠습니다
R069,인사팀,사원,관리,1-2년,하이브리드,2026-06-18,특이사항 없음
R070,마케팅팀,과장,기획,6-10년,하이브리드,2026-06-18,부서 간 협업은 전반적으로 좋습니다 다만 역할 책임이 애매할 때 일정이 밀립니다
R071,재무팀,대리,관리,3-5년,사무실,2026-06-18,결산 기간에는 휴가 사용이 어렵습니다 대체 인력 계획이 있으면 좋겠습니다
R072,개발팀,대리,개발,3-5년,원격,2026-06-18,개발 장비 성능은 만족합니다 오래된 장비 교체 기준만 더 명확하면 좋겠습니다
R073,디자인팀,차장,디자인,10년 이상,하이브리드,2026-06-19,브랜드와 제품 경험을 함께 논의하는 자리가 더 필요합니다
R074,영업팀,과장,영업,6-10년,외근,2026-06-19,지역별 목표가 현실과 맞지 않는 경우가 있습니다 시장 규모를 반영해 조정하면 좋겠습니다
R075,운영팀,사원,운영,1-2년,교대,2026-06-19,해당 없음
R076,고객지원팀,사원,상담,1-2년,사무실,2026-06-19,상담 후 피드백이 구체적이면 개선에 도움이 됩니다 좋은 사례와 나쁜 사례를 함께 보고 싶습니다
R077,인사팀,과장,관리,6-10년,하이브리드,2026-06-20,조직문화 프로그램은 긍정적입니다 일회성 행사보다 지속적인 소통 채널이 필요합니다
R078,마케팅팀,사원,기획,1-2년,원격,2026-06-20,데이터 분석 교육을 받고 싶습니다 캠페인 성과를 직접 해석하는 역량이 필요합니다
R079,재무팀,차장,관리,10년 이상,사무실,2026-06-20,업무 절차가 문서화되어 있어 안정적입니다 다만 예외 처리 기준이 더 필요합니다
R080,개발팀,과장,개발,6-10년,하이브리드,2026-06-20,릴리즈 후 성과 지표를 개발팀도 같이 보면 제품 개선 방향을 이해하기 좋겠습니다
